,id,date,dateYear,dateMonth,dateDay,rating,userName,content
204,205,20211105,2021,11,05,1,허재영,재고가 있다라고 나와 있는데 구매클릭하면 재고 없다라고 나오네요...문제가 아직 많은듯요
205,206,20201223,2020,12,23,1,이영진,모바일설치가안되는지요 버퍼링만되요
206,207,20220205,2022,02,05,5,Changhun Lee,이 앱없었으면 어찌살았을지. 특히 상품확인이랑 제고 확인이 정말 유용합니다.
207,208,20210316,2021,03,16,3,김은혜,매장에 가면 있으나 앱안에서의 검색시 없는게 많음
208,209,20210309,2021,03,09,5,정인원,주문변경이나 취소시 쉽고 빠릅니다
209,210,20211218,2021,12,18,5,요나짱,디테일하고 직관적인 편리한 사용!
210,211,20211208,2021,12,08,1,수박화채,어플 말고 그냥 인터넷 앱으로 들어가서 주문하는게 낫겠네여. 한국사람들은 답답해서 못쓸듯요... 임산부라 오프라인 매장 못가겠어서 온라인 주문하는데 무슨 열흘뒤에 출고한다고 하고... 징하게 답답한 시스템이네요... 오프라인 아니면 한국에서 곧 철수당할듯;
211,212,20210527,2021,05,27,4,김은주,편하게 잘 구입했어요. 다음에도 앱으로 구매할것 같아요.
212,213,20210510,2021,05,10,3,선누리마루,검색어가 한정적이라 검색 안 되는 것이 많음.
213,214,20211204,2021,12,04,5,김은주,멀어서잘못가지만 앱으로 잘이용하고있어용^^
214,215,20210622,2021,06,22,4,양유리미,제품에대한 설명과 상세 사이즈가 잘 표기되어 있고 종류별로 구매가능하여 유용함
215,216,20210403,2021,04,03,1,동훈,그릇이 어느 카테고리인지 직관적으로 안보임 검색해야 겨우 나옴.... 너무 불편
216,217,20220316,2022,03,16,5,Eunice Park,직관적이고 사용하고 편리합니다 :)
217,218,20211011,2021,10,11,1,mchlll 22,로그인창이 계속 오류나고 튕김 멀살수가 없음ㅡㅡ 오프라인 매장에서도 계산할때 맨날 계산대에서 계속 오류나고ㅡㅡ 아이티부서 신경좀 써주세요
218,219,20210331,2021,03,31,3,다니엘,위로가기 탑 버튼 없어서 불편 옵션 선택 레이어팝업 흐름 불편 전체제품보기 일부만 보시고 짤려서 불편
219,220,20211214,2021,12,14,5,새로운소식,신속한 선택 가능한 정렬 도움 많이되요
220,221,20220209,2022,02,09,5,고구마마스터,"편해요 빠르고, 불편한점 없을 무"
221,222,20210130,2021,01,30,5,박정희,원하는 물건을 쉽게찾을수 있어서 좋습니다
